!VERSION: AramcoMech 1.3
!AUTHORS: W. K. Metcalfe, S. Burke, H. J. Curran
!WEBSITE: http://c3.nuigalway.ie/

H                            0   145.000     2.050     0.000     0.000     0.000
O                            0    80.000     2.750     0.000     0.000     0.000
C                            0    71.400     3.298     0.000     0.000     0.000
H2                           1    38.000     2.920     0.000     0.790   280.000
CO                           1    98.100     3.650     0.000     1.950     1.800
HE                           0    10.200     2.576     0.000     0.000     0.000
N2                           1    97.530     3.621     0.000     1.760     4.000
O2                           1   107.400     3.458     0.000     1.600     3.800
OH                           1    80.000     2.750     0.000     0.000     0.000
AR                           0   136.500     3.330     0.000     0.000     0.000
CH                           1    80.000     2.750     0.000     0.000     0.000
H2O                          2   572.400     2.605     1.844     0.000     4.000
CH3                          1   144.000     3.800     0.000     0.000     0.000
C2H                          1   265.300     3.721     0.000     0.000     2.500
CO2                          1   244.000     3.763     0.000     2.650     2.100
CH2                          1   144.000     3.800     0.000     0.000     0.000
HO2                          2   107.400     3.458     0.000     0.000     1.000
CH4                          2   141.400     3.746     0.000     2.600    13.000
HCO                          2   498.000     3.590     0.000     0.000     0.000
C2H6                         2   247.500     4.350     0.000     0.000     1.500
HCCO                         2   150.000     2.500     0.000     0.000     1.000
C3H3                         1   324.800     4.290     0.000     0.000     1.000
CH3O                         2   417.000     3.690     1.700     0.000     2.000
C2H5                         2   247.500     4.350     0.000     0.000     1.500
C3H8                         2   303.400     4.810     0.000     0.000     1.000
C3H2                         2   209.000     4.100     0.000     0.000     1.000
CH2O                         2   498.000     3.590     0.000     0.000     2.000
OCHO                         2   498.000     3.590     0.000     0.000     2.000
C2H4                         2   238.400     3.496     0.000     0.000     1.500
C4H6                         2   357.000     4.720     0.000     0.000     1.000
H2O2                         2   107.400     3.458     0.000     0.000     3.800
C2H3                         2   265.300     3.721     0.000     0.000     1.000
C2H2                         1   265.300     3.721     0.000     0.000     2.500
C3H6                         2   307.800     4.140     0.000     0.000     1.000
O2CHO                        2   436.000     3.970     0.000     0.000     2.000
CH2OH                        2   417.000     3.690     1.700     0.000     2.000
PC4H9                        2   352.000     5.240     0.000     0.000     1.000
HOCHO                        2   436.000     3.970     0.000     0.000     2.000
HCCOH                        2   436.000     3.970     0.000     0.000     2.000
SC4H9                        2   352.000     5.240     0.000     0.000     1.000
IC4H9                        2   352.000     5.240     0.000     0.000     1.000
CH3CO                        2   436.000     3.970     0.000     0.000     2.000
IC3H7                        2   303.400     4.810     0.000     0.000     1.000
C3H5O                        2   411.000     4.820     0.000     0.000     1.000
C4H10                        2   350.900     5.206     0.000     0.000     1.000
C4H7O                        2   496.000     5.200     0.000     0.000     1.000
TC4H9                        2   352.000     5.240     0.000     0.000     1.000
C2H5O                        2   470.600     4.410     0.000     0.000     1.500
NC3H7                        2   303.400     4.810     0.000     0.000     1.000
IC4H8                        2   344.500     5.089     0.500     0.000     1.000
CH3OH                        2   481.800     3.626     0.000     0.000     1.000
CH2CO                        2   436.000     3.970     0.000     0.000     2.000
IC4H7                        2   355.000     4.650     0.000     0.000     1.000
C2H3CO                       2   443.200     4.120     0.000     0.000     1.000
C3H5-A                       2   316.000     4.220     0.000     0.000     1.000
PC4H9O                       2   496.000     5.200     0.000     0.000     1.000
IC4H10                       2   335.700     5.208     0.100     0.000     1.000
IC4H8O                       2   436.400     5.352     0.000     0.000     1.000
NC5H12                       2   391.700     5.591     0.000     0.000     1.000
CH3CHO                       2   436.000     3.970     0.000     0.000     2.000
C3H5-S                       2   316.000     4.220     0.000     0.000     1.000
SC4H9O                       2   496.000     5.200     0.000     0.000     1.000
IC4H9O                       2   496.000     5.200     0.000     0.000     1.000
CH2(S)                       1   144.000     3.800     0.000     0.000     0.000
C2H5OH                       2   470.600     4.410     0.000     0.000     1.500
C2H5CO                       2   424.600     4.820     0.000     0.000     1.000
C3H5-T                       2   316.000     4.220     0.000     0.000     1.000
TC4H9O                       2   496.000     5.200     0.000     0.000     1.000
HOCH2O                       2   470.600     4.410     0.000     0.000     1.500
CH2CHO                       2   436.000     3.970     0.000     0.000     2.000
C3H4-P                       1   324.800     4.290     0.000     0.000     1.000
NC3H7O                       2   481.500     4.997     1.700     0.000     1.000
C4H8-1                       2   355.000     4.650     0.000     0.000     1.000
IC4H7O                       2   496.000     5.200     0.000     0.000     1.000
HO2CHO                       2   436.000     3.970     0.000     0.000     2.000
C3H4-A                       1   324.800     4.290     0.000     0.000     1.000
IC3H7O                       2   459.500     5.036     1.700     0.000     1.000
